OID_,OID1,Grid,ORIG_FID,LAT,LON
35151,,L39,35151,58.340272149999997,-160.299635800000004
25604,,BF106,25604,58.341738210000003,-146.086065490000010
24775,,BJ113,24775,58.342157120000003,-144.677329969999988
23532,,BP124,23532,58.343986670000000,-142.487874169999998
26848,,AZ96,26848,58.345099509999997,-148.123839140000001
21048,,CB148,21048,58.346475239999997,-137.798626070000012
33697,,S48,33697,58.346542659999997,-158.307340769999996
27885,,AU88,27885,58.346576890000001,-149.772371719999995
37229,,B27,37229,58.346661550000000,-163.029159090000007
26226,,BC101,26226,58.346805029999999,-147.104923250000013
36190,,G33,36190,58.349542200000002,-161.664323440000004
23325,,BQ126,23325,58.349672020000000,-142.097239750000000
21255,,CA146,21255,58.351746140000003,-138.189290739999990
30375,,AI70,30375,58.351930490000001,-153.553079840000009
24568,,BK115,24568,58.353420329999999,-144.287004160000009
28300,,AS85,28300,58.353943760000000,-150.402349679999986
23118,,BR128,23118,58.354362060000000,-141.706536529999994
34528,,O43,34528,58.355710719999998,-159.426245289999997
21462,,BZ144,21462,58.356021570000003,-138.580018719999998
25397,,BG108,25397,58.356587670000003,-145.696042820000002
35359,,K38,35359,58.356710800000002,-160.545342949999991
22911,,BS130,22911,58.358056400000002,-141.315777700000012
37437,,A26,37437,58.358719049999998,-163.275544029999992
28715,,AQ82,28715,58.358721610000003,-151.032457520000008
27263,,AX93,27263,58.359240540000002,-148.753536569999994
21669,,BY142,21669,58.359301150000000,-138.970796809999996
22704,,BT132,22704,58.360754720000003,-140.924976469999990
29130,,AO79,29130,58.360909409999998,-151.662639880000000
21876,,BX140,21876,58.361584620000002,-139.361611809999999
22497,,BU134,22497,58.362456809999998,-140.534146039999996
22083,,BW138,22083,58.362871769999998,-139.752450490000001
22290,,BV136,22290,58.363162510000002,-140.143299649999989
24361,,BL117,24361,58.363690630000001,-143.896535660000012
36398,,F32,36398,58.363792840000002,-161.910420219999992
26019,,BD103,26019,58.364247360000000,-146.715137730000009
26641,,BA98,26641,58.365131820000002,-147.734380460000011
33905,,R47,33905,58.366172980000002,-158.552470699999986
25190,,BH110,25190,58.370446659999999,-145.305830030000010
27678,,AV90,27678,58.370795770000001,-149.383508720000009
33282,,U51,33282,58.371654520000000,-157.678459580000009
35567,,J37,35567,58.372758359999999,-160.791185630000001
24154,,BM119,24154,58.372967160000002,-143.505937560000007
34736,,N42,34736,58.373551919999997,-159.671765590000007
36606,,E31,36606,58.377650449999997,-162.156634450000013
30583,,AH69,30583,58.379139400000000,-153.796357019999988
28093,,AT87,28093,58.379762690000000,-150.013700379999989
25812,,BE105,25812,58.380701289999998,-146.325127860000009
27056,,AY95,27056,58.380875899999999,-148.364201830000013
23947,,BN121,23947,58.381249140000001,-143.115223030000010
24983,,BI112,24983,58.383314020000000,-144.915440170000011
