OID_,LAT,LON
14907,41.960270559999998,-126.230680960000001
14908,41.975788700000003,-126.166554719999993
14909,41.991275270000003,-126.102400040000006
14910,42.006730249999997,-126.038216939999998
14911,42.022153619999997,-125.974005489999996
14912,42.037545360000003,-125.909765699999994
14913,42.052905449999997,-125.845497640000005
14914,42.068233859999999,-125.781201319999994
14915,42.083530580000001,-125.716876799999994
14916,42.098795580000001,-125.652524110000002
14917,42.114028840000003,-125.588143299999999
14918,42.129230339999999,-125.523734410000003
14919,42.144400060000002,-125.459297469999996
14920,42.159537980000003,-125.394832530000002
14921,42.174644069999999,-125.330339629999997
14922,42.189718319999997,-125.265818809999999
14923,42.204760700000001,-125.201270109999996
14924,42.219771190000003,-125.136693579999999
14925,42.234749770000001,-125.072089239999997
14926,42.249696419999999,-125.007457160000001
14927,42.264611109999997,-124.942797360000000
14928,42.279493840000001,-124.878109899999998
14929,42.294344559999999,-124.813394799999998
14930,42.309163269999999,-124.748652129999996
14931,42.323949949999999,-124.683881909999997
14932,42.338704559999996,-124.619084189999995
14933,42.353427089999997,-124.554259009999996
14934,41.657849710000001,-127.656144150000003
14935,41.674068480000003,-127.592616059999997
14936,41.690256140000002,-127.529058640000002
14937,41.706412669999999,-127.465471910000005
14938,41.722538059999998,-127.401855920000003
14939,41.738632279999997,-127.338210700000005
14940,41.754695310000002,-127.274536299999994
14941,41.770727129999997,-127.210832730000007
14942,41.786727720000002,-127.147100060000000
14943,41.802697049999999,-127.083338299999994
14944,41.818635100000002,-127.019547509999995
14945,41.834541850000001,-126.955727710000005
14946,41.850417290000003,-126.891878939999998
14947,41.866261369999997,-126.828001250000000
14948,41.882074099999997,-126.764094670000006
14949,41.897855440000001,-126.700159229999997
14950,41.913605369999999,-126.636194990000007
14951,41.929323879999998,-126.572201969999995
14952,41.945010930000002,-126.508180210000006
14953,41.960666510000003,-126.444129759999996
14954,41.976290589999998,-126.380050650000001
14955,41.991883160000000,-126.315942919999998
14956,42.007444190000001,-126.251806610000003
14957,42.022973669999999,-126.187641760000005
14958,42.038471559999998,-126.123448409999995
14959,42.053937849999997,-126.059226600000002
14960,42.069372510000001,-125.994976359999995
14961,42.084775530000002,-125.930697749999993
14962,42.100146879999997,-125.866390789999997
14963,42.115486550000000,-125.802055539999998
14964,42.130794500000000,-125.737692019999997
14965,42.146070719999997,-125.673300280000007
14966,42.161315190000003,-125.608880360000001
14967,42.176527880000002,-125.544432299999997
14968,42.191708779999999,-125.479956150000007
14969,42.206857860000000,-125.415451930000003
14970,42.221975100000002,-125.350919700000006
14971,42.237060479999997,-125.286359500000003
14972,42.252113970000003,-125.221771360000005
14973,42.267135570000001,-125.157155329999995
14974,42.282125229999998,-125.092511450000003
14975,42.297082959999997,-125.027839770000000
14976,42.312008710000001,-124.963140310000000
14977,42.326902470000000,-124.898413129999994
14978,42.341764230000003,-124.833658270000001
14979,42.356593949999997,-124.768875769999994
14980,42.371391619999997,-124.704065679999999
14981,42.386157210000000,-124.639228029999998
14982,42.400890709999999,-124.574362859999994
14983,41.704769079999998,-127.678134430000000
14984,41.720999499999998,-127.614568930000004
14985,41.737198810000002,-127.550974040000000
14986,41.753366980000003,-127.487349780000002
14987,41.769503980000003,-127.423696210000003
14988,41.785609809999997,-127.360013350000003
14989,41.801684430000002,-127.296301249999999
14990,41.817727830000003,-127.232559940000002
14991,41.833739979999997,-127.168789450000006
14992,41.849720869999999,-127.104989829999994
14993,41.865670459999997,-127.041161119999998
14994,41.881588739999998,-126.977303340000006
14995,41.897475690000000,-126.913416540000000
14996,41.913331280000001,-126.849500759999998
14997,41.929155489999999,-126.785556029999995
14998,41.944948300000000,-126.721582400000003
14999,41.960709700000002,-126.657579889999994
15000,41.976439640000002,-126.593548560000002
15001,41.992138130000001,-126.529488430000001
15002,42.007805130000001,-126.465399559999994
15003,42.023440620000002,-126.401281960000006
15004,42.039044580000002,-126.337135700000005
15005,42.054616990000000,-126.272960789999999
15006,42.070157819999999,-126.208757300000002
15007,42.085667059999999,-126.144525239999993
15008,42.101144679999997,-126.080264670000005
15009,42.116590670000001,-126.015975620000006
15010,42.132004999999999,-125.951658129999998
15011,42.147387639999998,-125.887312249999994
15012,42.162738580000003,-125.822938010000001
15013,42.178057799999998,-125.758535460000004
15014,42.193345270000002,-125.694104620000005
15015,42.208600969999999,-125.629645560000000
15016,42.223824880000002,-125.565158289999999
15017,42.239016980000002,-125.500642880000001
15018,42.254177249999998,-125.436099350000006
15019,42.269305660000001,-125.371527749999998
15020,42.284402200000002,-125.306928119999995
15021,42.299466840000001,-125.242300499999999
15022,42.314499560000002,-125.177644939999993
15023,42.329500350000004,-125.112961470000002
15024,42.344469170000004,-125.048250139999993
15025,42.359406000000000,-124.983510980000005
15026,42.374310840000000,-124.918744050000001
15027,42.389183639999999,-124.853949380000003
15028,42.404024399999997,-124.789127019999995
15029,42.418833090000000,-124.724277000000001
