OID_,OID1,OID1_1,Grid,ORIG_FID,LAT,LON
18556,,,GS202,18556,28.478556919999999,-78.427156330000003
18883,,,GR207,18883,28.483397499999999,-77.849918259999995
18228,,,GT196,18228,28.488424020000000,-79.115721690000001
17900,,,GU190,17900,28.493861599999999,-79.804411990000006
18555,,,GS201,18555,28.496977000000001,-78.538458059999996
18882,,,GR206,18882,28.502417149999999,-77.961098660000005
18227,,,GT195,18227,28.506127270000000,-79.227183440000005
17899,,,GU189,17899,28.510847190000000,-79.916022089999998
18554,,,GS200,18554,28.515280470000000,-78.649808269999994
18881,,,GR205,18881,28.521320390000000,-78.072329060000001
18226,,,GT194,18226,28.523713659999999,-79.338691830000002
17898,,,GU188,17898,28.527715690000001,-80.027677010000005
18553,,,GS199,18553,28.533467259999998,-78.761206659999999
18880,,,GR204,18880,28.540107150000001,-78.183609189999999
18225,,,GT193,18225,28.541183130000000,-79.450246600000000
17897,,,GU187,17897,28.544467030000000,-80.139376459999994
18552,,,GS198,18552,28.551537329999999,-78.872652990000006
18224,,,GT192,18224,28.558535620000001,-79.561847459999996
18879,,,GR203,18879,28.558777389999999,-78.294938779999995
17896,,,GU186,17896,28.561101170000001,-80.251120159999999
19206,,,GQ208,19206,28.562902680000001,-77.717146650000004
18551,,,GS197,18551,28.569490609999999,-78.984146949999996
18223,,,GT191,18223,28.575771090000000,-79.673494140000003
18878,,,GR202,18878,28.577331040000001,-78.406317560000005
17895,,,GU185,17895,28.577618050000002,-80.362907840000005
19205,,,GQ207,19205,28.582056229999999,-77.828401970000002
18550,,,GS196,18550,28.587327049999999,-79.095688289999998
18222,,,GT190,18222,28.592889469999999,-79.785186359999997
17894,,,GU184,17894,28.594017619999999,-80.474739200000002
18877,,,GR201,18877,28.595768039999999,-78.517745250000004
19204,,,GQ206,19204,28.601093330000001,-77.939707740000003
18549,,,GS195,18549,28.605046590000001,-79.207276719999996
18221,,,GT189,18221,28.609890719999999,-79.896923819999998
18876,,,GR200,18876,28.614088339999999,-78.629221580000006
19203,,,GQ205,19203,28.620013929999999,-78.051063690000007
18548,,,GS194,18548,28.622649169999999,-79.318911959999994
18220,,,GT188,18220,28.626774770000001,-80.008706259999997
18875,,,GR199,18875,28.632291870000000,-78.740746279999996
19202,,,GQ204,19202,28.638817970000002,-78.162469540000004
18547,,,GS193,18547,28.640134740000001,-79.430593729999998
18219,,,GT187,18219,28.643541580000001,-80.120533390000006
18874,,,GR198,18874,28.650378580000002,-78.852319059999999
18546,,,GS192,18546,28.657503250000001,-79.542321759999993
19201,,,GQ203,19201,28.657505390000001,-78.273925030000001
18218,,,GT186,18218,28.660191080000001,-80.232404930000001
18873,,,GR197,18873,28.668348410000000,-78.963939659999994
18545,,,GS191,18545,28.674754629999999,-79.654095769999998
19200,,,GQ202,19200,28.676076129999998,-78.385429869999996
18217,,,GT185,18217,28.676723240000001,-80.344320589999995
19527,,,GP207,19527,28.680685730000000,-77.806835230000004
18872,,,GR196,18872,28.686201310000001,-79.075607790000007
18544,,,GS190,18544,28.691888830000000,-79.765915469999996
18216,,,GT184,18216,28.693137990000000,-80.456280090000007
19199,,,GQ201,19199,28.694530130000000,-78.496983799999995
19526,,,GP206,19526,28.699740370000001,-77.918266650000007
18871,,,GR195,18871,28.703937220000000,-79.187323180000007
18543,,,GS189,18543,28.708905800000000,-79.877780590000000
18215,,,GT183,18215,28.709435280000001,-80.568283140000005
19198,,,GQ200,19198,28.712867339999999,-78.608586529999997
19525,,,GP205,19525,28.718678420000000,-78.029748420000004
18870,,,GR194,18870,28.721556069999998,-79.299085550000001
18542,,,GS188,18542,28.725805489999999,-79.989690830000001
19197,,,GQ199,19197,28.731087689999999,-78.720237800000007
19524,,,GP204,19524,28.737499809999999,-78.141280260000002
18869,,,GR193,18869,28.739057830000000,-79.410894610000000
18541,,,GS187,18541,28.742587830000002,-80.101645919999996
19196,,,GQ198,19196,28.749191130000000,-78.831937330000002
19523,,,GP203,19523,28.756204499999999,-78.252861909999993
18868,,,GR192,18868,28.756442419999999,-79.522750090000002
18540,,,GS186,18540,28.759252780000001,-80.213645569999997
19195,,,GQ197,19195,28.767177589999999,-78.943684840000003
18867,,,GR191,18867,28.773709790000002,-79.634651710000000
19522,,,GP202,19522,28.774792410000000,-78.364493100000004
18539,,,GS185,18539,28.775800279999999,-80.325689499999996
19849,,,GO207,19849,28.779286219999999,-77.785217869999997
19194,,,GQ196,19194,28.785047030000001,-79.055480040000006
18866,,,GR190,18866,28.790859890000000,-79.746599180000004
18538,,,GS184,18538,28.792230279999998,-80.437777420000003
19521,,,GP201,19521,28.793263499999998,-78.476173540000005
19848,,,GO206,19848,28.798358480000001,-77.896775199999993
19193,,,GQ195,19193,28.802799380000000,-79.167322670000004
18865,,,GR189,18865,28.807892670000001,-79.858592220000006
18537,,,GS183,18537,28.808542719999998,-80.549909049999997
19520,,,GP200,19520,28.811617689999999,-78.587902950000000
19847,,,GO205,19847,28.817314060000001,-78.008383060000000
19192,,,GQ194,19192,28.820434590000001,-79.279212439999995
